Pokemon,Mobility,Support,Scoring,0ffense,Endurance,Damage,HP,Attack,Defense,Sp. Attack,Sp. Defense,Crit Rate,CDR,Lifesteal,Attack Speed,Move Speed,Attack Range,Attack Type,Difficulty,Evolution 1,Evolution 2,Class,Passive,Basic,Move 1,Move 1A,Move 1B,Move 2,Move 2A,Move 2B,Unite Move
Absol,4,0.5,2.5,3.5,2,3.5,6000,670,259,118,180,10,20,10,29.99,4250,0,0,2,-1,-1,0,Increases Critical-Hit rate by 15%.,"Becomes a boosted attack with every third attack, dealing damage to enemies and lowering their Defense by 15% for 2s when it hits. If this boosted attack hits only a single target, it deals increased damage.","Absol dashes in an arc, damaging all enemies hit and increasing attack speed by 60% for 0.5s. Each use alternates between a left and right arc. Feint ignores the target’s Defense and bypasses all shields.","Absol dashes in an arc, damaging the first Pokémon hit and increasing attack speed by 60% for 0.5s. If Absol hits, this ability can be activated within 6s – allowing Absol to dash again, dealing damage to all enemies hit and increasing attack speed once again. The second hit also has 30% increased Critical-Hit Rate on enemies below 50% max HP.","Absol dashes to a location, and dashes to an enemy with its next auto attack. If Absol hits the back of the target, this ability's cooldown is reduced by 80%. If it fails to hit the back, damage is reduced. The next auto attack stays empowered for 3s.","Absol quickly slashes in front of themself, damaging any enemy hit by the slash. Slash has an increased critical-hit rate by 15%.","Throw a wide slash forward; damaging and slowing enemies hit by 90% for 2s. This slow decreases by 25% every 0.5s. Enemies hit are marked for 5s with 3 cleansable marks. When Absol deals damage to a marked enemy, a mark is consumed, dealing extra damage.

All damage dealt by Psycho Cut or its marks have a 15% increased Critical-Hit Rate.","Absol targets an enemy and enters a counter stance for 1s, decreasing the movement speed of the target enemy and Absol by 50% for the duration and negating all damage and effects of the next attack on Absol. While in counter stance, if Absol is attacked or the target attacks, Absol immediately exits counter stance and leaps behind the target, stunning it and dealing damage. If the attack is not triggered before the counter stance expires, Absol leaps behind the target dealing damage.","Briefly become unstoppable before unleashing a flurry of 5 slashes in front of Absol, becoming untargetable and invulnerable for 1.15s. This move ends by unleashing a powerful unstoppable slash with 3 blades of energy, shoving enemies and dealing damage up to 4 times at melee range and down to 1 time at maximum range. Only the first ending hit connecting with an enemy does full damage, the others deal 30% damage to the same target. Damage - Reduced (up to 3 Hits):
30% of the full damage.
Unite Buffs (6s duration):

80% Movement Speed, 20% Max HP Shield"
Aegislash,4,0.5,2.5,3.5,2,3.5,7302,357,250,115,174,10,20,0,44.99,4200,0,0,2,5,7,2,"Honedge and Doublade do not gain the stat benefits of Stance Change. However, their boosted attack functions like Aegislash's Sword Stance boosted attack. Aegislash can switch between Sword Stance and Shield Stance. Using a blade move switches stance to Sword Stance; which increases Attack, movement speed by 5%, and Attack Speed by 15%. Using a shield move switches stance to Shield Stance; which increases Defense and Sp. Defense and reduces Attack Speed by 20%. After switching stances, movement speed and basic attack speed are further increased by 15% for 3.5s.","Slash at enemies in front of Aegislash, dealing damage to them. If the boost count is one or more, auto attacks become a boosted attack. When in Sword Stance or No Guard: pierce through enemies, dealing damage. When in Shield Stance: ram enemies, dealing damage and leaving them unable to act for .1s, restore HP, and reduce the cooldown of Sacred Sword and Shadow Claw by 1s when this attack hits. Every boosted attack consumes one boost count. Up to 4 boosted attacks can be stored. Damage - Additional (Sword Stance):
Deals an additional 7% of the enemies Max HP as damage.
Against Wild Pokemon: The additional damage from maximum HP is capped at 1000.","Cast a shadow in the designated direction dealing damage to enemies hit. After the shadow hits an enemy or travels its maximum distance, Aegislash warps to the shadow’s location, dealing damage to nearby enemies and increase boost count by 1.","Aegislash thrusts its blade into the ground creating a triangular zone. This zone erupts with a hidden power, dealing damage to enemies in the area and throws them in the air for .6s. Also increases boost count by 1 for each enemy hit (capped at 2 for wilds, 4 for players). At the same time as the eruption, Aegislash slashes forward, dealing additional damage to enemies hit. For 3s after this slash hits, damage dealt by Aegislash ignores 25% of the enemy Defense. Increase Attack by 50 for 3s after hitting enemies with the triangle attack.","Aegislash slashes with its blade twice in the designated direction, dealing damage to enemies hit. Follow up with a final rising slash that deals damage to enemies hit and throws them in the air for .75s. Boost count increases by 1 when at least one of the three slashes hits. Increases Critical-Hit Rate by 20% for 1s (This move does not benefit).","Envelops Aegislash in a powerful protective force for 3s or after blocking one attack. If this move blocks an attack, increase boost count by 1.","Focus in place for a short time to create a great shield on Aegislash for 1.2s. When this great shield appears, boost count increases by 1, grants a shield to Aegislash and shoves enemies in front. While the shield persists, Aegislash is Unstoppable and incoming damage increases boost count by 1 for each different source (capping at 2). When this move ends, shove enemies for .75s in front of Aegislash once again and slow them by 45% for 2s.

Gain 1 boosted count if the shove at the end hits at least one enemy. If the great shield is depleted before the duration of this move ends, the boosted count is granted regardless of whether an enemy is hit. Shield - Additional:
10% max HP Cooldown reduced by 1s.","Dash in the designated direction dealing damage to enemies hit. Also increases boost count by 1, and protects Aegislash with a special shield for 1s afterward. This shield doesn’t protect from hindrances, but it can nullify damage. When the shield blocks an attack, it disappears, the cooldown is reduced by 3s, and boost count is increased by 1. If an attack is blocked with this move, Aegislash gains +10% Attack for 3s.","Unleash a ground-splitting slash in the designated direction dealing damage to enemies hit and switching to Sword Stance. The lower their remaining HP, the more damage this move deals. If this slash knocks out an enemy, boost count increases by 2. Aegislash is unstoppable during this move. Damage - Execute:
12% missing HP as damage.
Against Wild Pokémon: The additional damage from missing HP is capped at 1000. Unite Buffs (6s duration):

30% Movement Speed, 30% CDR, 20% Max HP Shield"
Azumarill,2.5,0.5,2.5,3,3,2.5,7850,461,399,115,319,0,0,10,40,4200,0,0,0,4,-1,2,"When this Pokémon hits only a single enemy with an auto attack, a move, or their Unite Move, the hit is always a critical hit. However, when hitting two or more enemies at once with an auto attack, a move, or its Unite Move, the hits are never critical hits.

Critical hits deal 170% rather than 200%.","Becomes a boosted attack with every third attack, dealing increased damage to enemies within a cone area of effect in front of this Pokémon.",Charge forward; dealing damage to any enemy hit and leave them unable to act for 0.5s.,"Increase movement speed by 30% for 4s and change the next auto attack. When performing the next auto attack, lunge at one enemy in range and deliver repeated blows dealing damage to that target and leave it unable to act for .75s.

Using Play Rough will overwrite any active Aqua Tail attack change. Play Rough attacks count as auto attacks for the purpose of items, lifesteal and other benefits. Further increases movement speed to 35% when this move is used, and also reduces this move’s cooldown by 1s.","Shoot a pulsing blast of water in front of Azumarill. When shooting the blast, Azumarill may perform a short rolling dash in a designated direction. When the blast of water hits an enemy, decrease their movement speed by 40% for 2s and deal damage to all enemies in an area of effect around the initial target. The blast of water then automatically bounces to another target if one is available. Including the first target, the blast of water can bounce between up to three targets consecutively, and each hit behaves in the same way as the first. Increase the maximum number of targets that the blast of water can bounce between by 2.","Spray bubbles in a cone dealing damage to enemies in the area of effect and decreasing their movement speed by 30% for 2s. This move can be used while moving. Damage - Subsequent Hits:
Subsequent hits on the same target deal 25% damage.","For a short time, four small whirlpools appear that swirl around Azumarill as it moves. If a whirlpool hits an enemy, the whirlpool deals damage to them and restores Azumarill's HP. If a whirlpool hits an enemy player, an increased amount of HP is restored.

Moving clockwise against your target will grant more hits against that target, and counter-clockwise will reduce the number of hits. Reduces this move’s cooldown by 2s and increases the amount of HP restored.","Increase area-of-effect and attack speed for the next three auto attacks by 20% for 6s. If these auto attacks hit from a distance, they also deal increased damage and restore HP. Using Aqua Tail will overwrite any active Play Rough attack change.

Aqua Tail attacks count as auto attacks for the purpose of items, lifesteal and other benefits. Aqua Tail attacks that hit from a distance reduce the cooldown of all moves by 0.8s.","Azumarill targets an enemy player and then pounds their belly three times; losing 5% remaining HP with each pound in exchange for a 5% max HP shield that stacks with each pound and lasts 6s. Azumarill gains 60 Attack for 5s and can move while pounding their belly. Azumarill then charges at the target damaging and throwing all Pokémon hit while charging and Pokémon within the area effect around the target. Azumarill is unstoppable during this move. Unite Buffs (6s duration):

30% Movement Speed, 30% CDR, 20% Max HP Shield"
Blastoise,2,3,2,2,3.5,2.5,9801,292,599,412,420,0,10,0,30,4300,1,1,0,5,7,3,Increases Attack and Sp. Attack by 20% while at half HP or less.,"Becomes a boosted attack with every third attack, dealing 3 instances of damage, slowing enemies hit by 50% for 1s, and reducing Blastoise’s move cooldowns by 1s. When evolving into Blastoise, auto attacks now strike twice for 50% Atk.","Blastoise shoots a jet of water in a straight line; damaging, knocking back, and stunning enemies hit for 0.5s. Enemies hit are also slowed by 30% for 1s.","Blastoise shoots a large amount of water, damaging, knocking back, and stunning enemies hit for 0.6s. Blastoise unleashes a large burst of water in a radius around themself, damaging, stunning, and knocking back enemies hit. Blastoise also gains a 30% movement speed bonus for the duration of this move. Damage - During Rapid Spin: 
Blastoise unleashes a large burst of water in a radius around themself, damaging, stunning, and knocking back enemies hit. Blastoise also gains a 30% movement speed bonus for the duration of this move. Increased damage.","Blastoise calls down a barrage of water in a targeted radius. Enemies within the radius are struck 6 times over 3s, damaging and slowing them by 30% for 1s (refreshing every hit). Damage - Area (17 Hits) During Rapid Spin: 
Blastoise rapidly unleashes bursts of water in a radius around themselves dealing up to 17 instances of damage over the duration of Rapid Spin. Blastoise also gains a 30% movement speed bonus for the duration of this move.
The move button must be held for the duration of Rapid spin in order to trigger all of the additional attacks. Increased damage.",Blastoise dashes forward damaging and stunning all enemies hit for 0.5s.,"Blastoise rides a large wave in the designated direction damaging, knocking back, and stunning enemies hit for 1.6s. Blastoise is unstoppable while surfing, and once it ends, Blastoise can jump in a designated direction. The wave continues for a short duration after leaping off and the wave continues to knock back enemies hit but inflicts no damage. Blastoise gains a small shield for 4s when hitting an enemy with Surf.","Blastoise withdraws into its shell and begins rapidly spinning for 5.5s resetting the cooldown of its other move. Blastoise resists hindrances for the duration of Rapid Spin and can freely move about the battlefield. While spinning, Blastoise will damage nearby enemies. Blastoise’s next auto attack after Rapid Spin ends becomes boosted. For the duration of Rapid Spin, the mechanics of Blastoise’s auto attacks as well as Hydro Pump and Water Spout are changed. Blastoise may exit Rapid Spin by re-entering the input used to enter Rapid Spin. Blastoise gains a massive amount of Def and SpDef for the duration of the spin.","Blastoise gains a shield for 4s and sweeps powerful water jets in a large circle around itself dealing massive damage and throwing enemies hit into the air for 1.5s. Blastoise is unstoppable during this move. Unite Buffs (6s duration):

30% Movement Speed, 40% Max HP Shield"
Blaziken,4,0.5,1,4,2.5,4,7800,490,458,115,351,20,0,15,30,4300,0,0,2,5,7,2,"When this Pokémon hits an enemy with an auto attack or move, that enemy will receive a fire fragment. Hitting an enemy that has a fire fragment 5 times with a basic attack or move will deal additional damage and restore the user's HP. When this Pokémon's HP is at half or lower, more HP is restored. Healing:
7% Max HP
Healing (at or below 50% HP):
10% Max HP","Deals damage to nearby enemies. While in Kick Style, basic attacks have a higher area-of-effect and reach. While in Punch Style, attack speed is increased by 40%.

For the purpose of auto attacks, Torchic is treated as punch style while Combusken is treated as kick style. Once Blaziken has access to their Unite move, they can swap between styles.","Dash in a designated direction, dealing damage to enemies that come in contact with the dash. If this move hits an enemy, this move may be used again once within 4 seconds before being put on cooldown.","Unleash 2 flaming punches in the designated direction, dealing damage to enemies hit. The designated direction can be changed during this move. When the user hits an enemy with this move, for a short time, this move can be used once more. Increases damage dealt.","Become Unstoppable, reduce incoming damage by 25%, and charge power in place in a designated direction. If used again, unleash a flaming kick in the designed direction, dealing damage to enemies hit. The longer the duration the charge is held for, the more damage this move deals. If the user charges a certain amount of power (when the gauge reaches the line indicator), this move also shoves enemies hit. Increases damage dealt.","Release a small ball of fire in the designated direction, dealing damage in a small area around the first enemy hit and decreases their movement speed by 50% for 1s.","Fire a ball of focused energy in the designated direction. The ball of focused energy explodes upon hitting an enemy or after traveling a set distance, dealing damage to enemies in the explosion's area-of-effect and decreasing their movement speed by 35% for 1.5s. Increases the movement speed decrease to 60%.","Jump backwards then kick while leaping towards a designated location, becoming Unstoppable during the jump and kick animation. Deal damage to enemies hit by the kick and shove them. The shoved enemies will have their movement speed decreased by 25% for 2s. If the shoved enemies come in contact with a wall, they will be stunned instead for 1s. Blaze Kick cannot go over walls. Increases the movement speed decrease to 50%. Increases the stun duration to 1.5s if hitting a wall.","Perform a flaming punch around itself, dealing damage to nearby enemies hit and increase the user's movement speed by 20% for 4s. After using this move, the user switches to Punch Style and all Punch Style cooldowns are reset. Unite Buffs (6s duration):

Has an internal cooldown of 30s to activate Energy Amplifier; Has an internal cooldown of 60s to activate Buddy Barrier; 5% Max HP Shield Perform a flaming kick around itself, dealing damage to nearby enemies hit and increase the user's Attack stat by 30% for a 4s. After using this move, the user switches to Kick Style and all Kick Style cooldowns are reset. Unite Buffs (6s duration):

Has an internal cooldown of 30s to activate Energy Amplifier; Has an internal cooldown of 60s to activate Buddy Barrier; 5% Max HP Shield"
Blissey,1.5,4.5,1.5,1,3.5,2,10000,310,200,600,300,0,10,0,19.99,4300,0,1,1,4,-1,4,Every 6s Blissey will automatically cleanse themselves. Natural Cure will activate even if Blissey has no active debuffs.,"Gains a Boosted Attack every 6s, dealing increased damage.",Blissey pounds in a designated direction damaging and slowing enemies hit by 40% for 2s.,"Blissey hurls an egg at a location which explodes; damaging and throwing enemies in the radius for .8s. Holds 2 uses in reserve and cannot be used more than once every 2s.

When learning Egg Bomb, gain 2 additional charges for Soft-Boiled. Charges are shared between both moves. Base cooldown becomes 5s for both moves and time between using the same move remains a 2s cooldown. Also slows enemies by 40% for 2s after they're thrown.","Blissey greatly improves movement speed and auto attack speed for self and allies by 35% for both stats for 3s. During this duration, all of Blissey's auto attacks are boosted. After this bonus expires, Blissey loses any boosted attack that was granted. Also increases auto attack damage for all those affected by 15% for 3s.","Blissey continually restores HP as well as the HP of a designated ally for 2s, healing every 0.5s.","Blissey throws an egg to an ally, healing Blissey and the designated ally. Additionally healing every 1s for 2s afterwards. Additional Soft Boiled uses before these 2s will overwrite the previous egg's additional healing over time. Holds 2 uses in reserve and cannot be used more than once every 2s. Gain an additional charge.","Blissey grants both the targeted ally and themself a shield for 4s, purging hindrances and making both immune to hindrances until the shield is removed (4s shield duration). Shield value increased.","Blissey dashes to the designated ally to give it an egg, granting that ally a shield and increasing their Attack and Sp. Attack by 20% for 6s. Blissey also intercepts 50% of the damage received by that ally for 6s. While dashing, throw hit enemies into the air for .8s. When reaching the target ally, deal additional damage to all nearby enemies. Blissey is unstoppable during this move. 30% Movement Speed, 30% CDR, 20% Max HP Shield"
Buzzwole,2.5,2,2,4,3,3.5,7800,452,500,115,380,20,0,15,29.99,4300,0,0,1,-1,-1,2,"When Buzzwole knocks out an enemy player, movement speed is increased by 100% and basic attack speed increased by 50% for 3s. When Buzzwole assists in knocking out an enemy player, movement speed is increased by 50% and basic attack speed increased by 25% for 3s. Each time Buzzwole hits an enemy with basic attacks, Mega Punch, Lunge, or Smack Down - muscle gauge increases. Conversely, when Buzzwole is not in combat, muscle gauge depletes by 1 increment every 5s. Up to 6 muscle gauge increments can be stored.","Each time a basic attack hits an enemy, increase muscle gauge by 1 increment. Becomes a boosted attack with every third attack, throwing two consecutive punches while restoring Buzzwole's HP and increasing muscle gauge by 1 increment for each hit.",Jump in the designated direction before slamming the ground with a powerful punch. The shock from the punch deals damage to enemies in the area. Muscle gauge increases by 1 increment for each target hit.,"Lunge in the designated direction, dealing damage to enemies, decreasing their Attack by 30% for 2s and slowing them by 30% for 1s. If this move deals damage, muscle gauge increases by 1 increment for each enemy hit. After this move is used, Buzzwole's basic attack speed is increased by 30% for 2s. Holds 2 uses in reserve and cannot be used more than once every 1s. Whenever this move hits enemy players, Buzzwole's Attack increases by 10% for 2s for each player hit (up to a max of 5 stacks).","Deliver an uppercut punch in the designated direction, dealing damage and throwing the first Pokémon hit into the air. While the target is airborne, Buzzwole can activate this move again to perform a follow-up attack that smacks the target to the ground, dealing damage to all enemies in an area centered on the airborne enemy. When this move deals damage, muscle gauge increases by 1 increment for each enemy hit. Widens the area-of-effect in which damage is dealt when the grappled enemy slams the ground. Additionally, muscle gauge will now increase by 2 increments for each enemy player hit from the slam.

","Consumes the entire muscle gauge and has the user deal damage to an enemy in the designated direction, briefly shoving and stunning them for .2s. The damage dealt by this move increases for each muscle gauge increment consumed at a rate of 12.5% per increment. If this move knocks out an enemy, the user recovers 10% of maximum HP. Heal:
10% of Max HP","Grab and restrain an enemy in the designated direction, dealing damage-over-time while restoring Buzzwole's HP. When this move is used, consume the user's entire muscle gauge. The number of hits and the amount of damage dealt per hit increases for each muscle gauge increment consumed. Number of hits starts at 4 and increases by 1 per 2 increments of muscle gauge consumed. Initial damage increases by 1.5% per muscle gauge increment. This move ends if Buzzwole becomes unable to act for any reason or if the restrained enemy escapes by using an Eject Button or through some other means.

Against Unstoppable Targets: Only 1 instance of damage and healing will occur, equal to 5 hits. Damage - Additional (per Increment):
1.5% of per tick damage

Healing - per Tick:
75% of Damage Dealt + 5% * (Level -1) Also causes each instance of damage dealt by this move to be stronger than the last by 5% additively.","Consumes the entire muscle gauge and has the user run in the designated direction and grab an enemy. The user then slams the target down on the ground at full strength, dealing damage to all enemies in the area. If Buzzwole is successful in grabbing a target, Buzzwole receives a shield that lasts for 2s. Buzzwole is unstoppable during this move.

The damage dealt by this move is increased at a rate of 12.5% per muscle gauge increment. Shield:
12% Max HP + 2% HP * Muscle Gauge Reduces the cooldown of this move by 3s when the user's muscle gauge reaches maximum.","Buzzwole flies at high speed, dealing damage to enemies in the area-of-effect. Afterward, the user targets the enemy with the lowest percentage of HP remaining among those hit and charges down at them from the sky, dealing area damage once again and additional damage to the targeted enemy based on their missing HP. Buzzwole is Unstoppable during this move. Damage - Execute:
50% of enemy missing HP
Unite Buffs (6s duration):

30% Movement Speed, 30% CDR, 20% Max HP Shield"
Ceruledge,2.5,0.5,2.5,4,2.5,4.5,7850,430,320,116,380,20,0,10,50,4300,0,0,1,5,-1,2,"When Charcadet hits an enemy with an auto attack, Charcadet deals damage around themself with flames. This ability goes on a 4s cd after it's triggered. When the user takes Attack-based damage, Ceruledge's movement speed is increased for 3s. This effect can stack up to 2 times. If Ceruledge deals damage to enemies with basic attacks or moves, the enemy hit receives a wound. Life energy leaks out of these wounds for 3s, causing damage on hit and then every 0.5s. This effect can stack up to 6 times, each stack after the first adding 50% of the first stack's damage and refreshing the duration of the damage over time. If the effect stacks 6 times on an enemy, that Pokémon takes 15% increased damage from Ceruledge.","Becomes a boosted attack with every third attack, dealing increased damage. Becomes a boosted attack every 4 attacks, dealing damage twice. The next basic attack after using a move becomes a boosted attack. After evolving to Ceruledge, basic and boosted attacks have an additional 15% lifesteal.","Torch the area around the user with an inferno of scarlet flames, dealing damage to enemies hit. The user's next basic attack deals 15% increased damage.",Ceruledge focuses bitter feelings towards the world of the living into a slashing attack. The user recovers HP equals to 35% of the damage dealt with this move. Damage dealt to wild Pokémon only heals for half of the normal amount. Any HP recovered that exceeds the user's max HP is converted into a shield. Increases the amount of HP recovered to 50% of damage dealt.,"Ceruledge launches a blade formed by psychic power in the designated direction, dealing damage and applying a slowing effect to enemies hit. Enemies hit by this move have their Defense decreased for 4s. If Ceruledge hits enemies with a basic attack, this move's cooldown is reduced by 0.5s. Increases the Defense reduction of enemies hit by this move.","Has the user charge recklessly in the designated direction, dealing damage to enemies hit. The user's basic attack speed is increased by 30% for 3s.","Dash and disappear into darkness, where Ceruledge hides for 1s. While hiding, Ceruledge cannot move. When this move is used again or after 1s has passed, the user appears in the designated direction while slashing around themself, dealing damage that ignores Defense and shields of enemies and applies a slowing effect to them. If this move hits an enemy, this move's cooldown is reduced by 30% of the max cooldown. Reduces this move's cooldown by 2s.","Ceruledge cloaks themself in flame and charges in the designated direction, dealing damage to enemies hit. Ceruledge's basic attack speed is increased by 20% for 3s after using this move. A maximum of 2 uses can be kept in reserve for this move.

There is a 1 second cooldown between each use, which is reduced with cooldown reduction. Ceruledge's basic attack speed is instead increased for 5s after using this move.","Ceruledge charges both of their arm blades gaining unstoppable for 0.5s before slashing through to the designated location faster than the eye can track. Ceruledge leaves enemies hit unable to act for 0.7s and applies a mark to them. After 0.7s, Ceruledge slices marked enemies with three slashing blows. The mark can be cleansed, preventing the damage. Unite Buffs (6s duration):

30% Movement Speed, 30% CDR, 20% Max HP Shield"
Chandelure,1,3,2,5,1,4.5,6300,295,175,1005,140,0,25,0,30,4300,1,1,0,5,7,1,"When this Pokémon deals damage, receive a stacking buff that makes Special damage dealt by this Pokémon ignore 2.5% of Special Defense per stack. This buff lasts 4s, can stack up to 8 times, and the duration refreshes when gaining a new stack.","Gains a Boosted Attack every 5s, dealing increased damage, slowing enemies by 30% for 2s and burning enemies hit for 2.5s.","Shoot out a small flame, dealing damage to Pokémon it hits, slowing them by 30% for 2s and leaving them burned for 2.5s. After the first cast, this move may be used again within 5s before going on full cooldown.

Burns tick every 0.5s for 5 damage ticks.","Shoot an intense blast of fire in the designated direction, dealing damage to Pokémon and leaving them burned for 2.5s. The end of the blast explodes, dealing increased damage. If the explosion hits a Pokémon, this move's cooldown is reduced by 65% of its current cooldown.

Burns tick every 0.5s for 5 damage ticks. If the explosion hits a Pokémon, Chandelure deals 20% increased damage for 3s. This effect also applies to the triggering explosion itself.","Throws consecutive flames in an arc into designated areas up to 3 times by holding the move input down. Pokémon in the area are hit and are left burned. The area may be aimed and changed during the use of this move. When one of the flames hits a Pokémon, the user gains one heat energy. If this move is used again, an exploding flame is shot out, dealing damage to Pokémon based on the heat energy and leaves them burned. The exploding flame hitting with 0, 1 or 2 heat energy reduces the cooldown of this move by 75%, 50% or 30% respectively. After the follow-up attack, the user cannot use basic attacks for a short time.

Burns tick every 0.5s for 5 damage ticks. This move's cooldown is reduced by 1s.","Makes Pokémon in the area of effect see a frightening mirage, dealing damage to them and marking them. When Chandelure deals damage again to the marked Pokémon, the marked Pokémon are stunned for 1s.",Create a zone of mysterious power and mirages of floating furniture. Pokémon that come in contact with a mirage take damage. Pokémon that come in contact with a mirage or the edge of the zone are slowed by 65% decaying to a 40% slow over 1s. Then the 40% slow lingers for an additional second. Increases the slow to 80% for 1s decaying to 50% for 1s.,"Creates a zone in front of itself lasting 4s. The first enemy caught in the zone will be immobilized for 0.7s. Furthermore, all enemy Pokémon in the zone or enter the zone become imprisoned and cannot use Moves. Changes the Imprison to briefly immobilize all Pokémon caught in the zone on creation. ""Reduce the vision of enemies around itself by 30% for 3s. If this Unite Move is used again, Chandelure continuously fires a beam of fire in a designated direction, dealing damage to Pokémon it hits. The beam may be redirected while firing and its final blast deals increased damage. Ignite Midnight can be cancelled early. Unite Buffs (6s duration):

30% Movement Speed, 40% Max HP Shield""",
Charizard,2.5,0.5,3,3.5,3,2,7700,462,350,115,268,30,0,15,0,4300,0,0,0,5,7,2,Increases Critical-Hit Rate by 20% while at half HP or less.,"Breathe a firey breath dealing continual damage 4 times. Deal additional damage to enemies that have been burned by Charizard. This additional damage can not critically strike. Auto attacks gain increased range when evolving.

Against Wild Pokemon: The total damage is capped at 250.","Charizard attacks with a bursting flame forward, exploding on the first enemy hit, dealing damage and burning enemies in a small radius. Charizard gains a 20% movement speed bonus for 3s when hitting an enemy. The burn lasts 4s and reduces enemy Attack by 5%.","Attacks with a blast of fire while moving, damaging and burning enemies in a line. Charizard gains a small movement speed bonus by 40% for 4s if they hit. The burn lasts 4s and reduces enemy Attack by 5%. Deals increased damage.","Charizard punches forward, damaging and shoving enemies in their path. The first enemy hit is burned. The burn lasts 4s and reduces enemy Attack by 5%. Cooldown reduces by .3s per target, every time Charizard damages an enemy with an auto attack (1.2s total for an entire auto attack animation on a single target).","Charizard shoots a burst of fire forward, exploding on the first enemy hit or after traveling max distance, dealing damage over time every 0.5s and slowing enemies within the radius by 25% for 1s (refreshing on every damage tick).","Charizard shoots a blast of fire forward while moving, exploding on the first enemy hit or after a short distance, damaging enemies and leaving a fire area for 5s that deals damage over time every 0.5s and slows enemies within the radius by 35% for 1s (refreshing on every damage tick). Increased damage.","Charizard charges forward, shielding themself for 5s, throwing the targeted enemy and dealing damage in an area. Also slows enemies by 40% for 3s after thrown.","Briefly become unstoppable, grab an enemy and slam it onto the ground, damaging the target and nearby enemies and deal additional damage based on their max HP. Then, fly up into the air moving freely over obstacles for 7.5s and gaining Hindrance Resistance. While this move is active, auto attacks apply a burn to the target which lasts for 1s, dealing 2 instances of damage and is refreshed by each instance of damage from auto attacks. When dealing damage with auto attacks to an enemy (not from burn or additional damage), recover HP equal to 80% of the damage dealt. Natural lifesteal will apply to the burns applied by auto attacks made during this Unite. Damage - Slam:
8% of enemy max HP.
Unite Buffs (6s duration):

50% Movement Speed, 20% Max HP Shield"
