Character,x,y,z
Absol,-9.07216,18.816372,-6.0801115
Aegislash,-8.628811,16.528288,12.029662
Armarouge,-3.592109,10.377583,21.863062
Azumarill,-1.4599442,-3.7265706,-13.169623
Blastoise,15.548778,-19.646616,2.0761566
Blaziken,33.089153,6.429211,-5.0882945
Blissey,-8.553214,-25.901072,-4.582244
Buzzwole,12.957173,2.4910388,4.636596
Ceruledge,6.594568,10.712268,-3.686921
Chandelure,-10.716292,-8.038492,23.124584
Charizard,8.249836,7.274731,-18.68053
Cinderace,5.512901,32.93364,-10.169218
Clefable,-11.42206,-17.940315,0.49798062
Comfey,-28.32726,-17.071457,-2.9903421
Cramorant,-4.71451,3.4792886,11.226443
Crustle,1.2580366,-14.584061,-17.354883
Darkrai,1.5917407,-1.7346895,15.695111
Decidueye,16.106344,28.689123,-13.241366
Delphox,-13.138156,4.2979097,22.55586
Dodrio,-1.8168515,28.860315,7.3722796
Dragapult,2.8921444,23.158062,-10.69723
Dragonite,14.2027,14.684802,-15.600042
Duraludon,10.567051,23.301937,-0.30725655
Eldegoss,-10.704475,-23.130472,10.08459
Espeon,-21.145275,-9.369918,4.5433164
Falinks,21.495808,-3.7795353,5.2248535
Garchomp,21.231556,6.3064237,-18.543036
Gardevoir,-19.30489,-3.6477482,27.030413
Gengar,-11.118886,15.140232,23.95553
Glaceon,-31.706661,1.0591894,6.1963615
Goodra,20.816597,-15.9132395,-5.3231955
Greedent,17.228626,-30.653395,-13.113288
Greninja,5.9777355,27.449883,-18.483927
Gyarados,22.537806,19.26953,3.8525016
Ho-Oh,8.099323,-25.815529,-4.7582135
Hoopa,-18.98239,-12.848915,-7.3662977
Inteleon,-30.192537,2.8669944,15.109794
Lapras,12.318335,-18.927414,-12.150507
Leafeon,-12.823511,6.7646084,-9.593126
Lucario,8.514965,14.19836,8.111209
Machamp,16.797935,5.6571994,-9.417731
Mamoswine,21.051474,-26.396349,-4.4144187
Meowscarada,-18.357204,16.834316,-0.5543235
Metagross,24.94461,-0.63601935,-8.695978
Mew,-25.269814,-2.1044571,-8.122463
Mewtwo X,7.3115873,0.6009337,-4.9113955
Mewtwo Y,-22.398897,10.511192,17.787868
Mimikyu,17.8099,8.131087,11.263651
Miraidon,-16.435875,5.2214565,11.041018
Mr. Mime,0.88919085,-28.283594,3.9950328
Ninetales,-16.729536,-13.385478,14.132495
Pikachu,-13.644551,-4.661201,10.890532
Psyduck,-10.749279,-7.305789,-2.0315602
Sableye,-21.518072,-23.586767,-5.5199785
Scizor,23.895897,7.773489,1.7974814
Scyther,-8.973377,11.138475,0.48347107
Slowbro,3.0733187,-17.573193,2.3619995
Snorlax,5.5079784,-27.330345,-13.795989
Sylveon,-21.534758,-20.025742,6.4361105
Talonflame,-9.386909,29.282068,-2.3337543
Trevenant,10.546904,-11.965394,-4.0982747
Tsareena,25.744215,14.767979,-9.609852
Tyranitar,19.861238,-4.4547873,-18.175528
Umbreon,-1.2284485,-17.10032,-7.282697
Urshifu,15.402984,11.854435,-1.3307555
Venusaur,-23.173586,-6.46922,19.269945
Wigglytuff,-7.9838657,-20.231781,-14.534961
Zacian,15.347538,-1.6189187,15.520123
Zeraora,-13.258984,23.34961,6.1505523
Zoroark,-3.8776343,19.094275,2.3898525
