Character,x,y,z
Absol,0.727043455,1.231844823,1.369163449
Aegislash,0.879368814,0.535233978,-0.178227533
Azumarill,-0.385976961,0.026563126,0.793453346
Blastoise,-1.230953039,-1.102179366,-1.492644533
Blaziken,-0.505139396,1.204674139,0.416068375
Blissey,-0.695362649,-1.603779624,0.584671433
Buzzwole,-0.915171873,0.819524949,0.488983013
Ceruledge,-0.304756579,0.889532097,-0.175660223
Chandelure,1.540407816,-1.230229367,-1.818158042
Charizard,-0.357869794,0.491623955,-1.009744517
Cinderace,0.953211799,1.357229971,-0.927313186
Clefable,-0.077581686,-1.625690686,0.261763284
Comfey,0.679448327,-1.2360556,1.18492524
Cramorant,0.764670227,-0.142111232,1.18981398
Crustle,-1.442226331,-0.958555798,0.73264209
Decidueye,0.685339851,1.125629131,-1.906598385
Delphox,1.588522876,-0.440749529,-1.222654985
Dodrio,0.514322409,1.102355709,0.651758596
Dragapult,0.954195452,1.474388947,-0.462035735
Dragonite,-0.361059414,0.867258565,-1.177912135
Duraludon,0.323806052,1.363794015,0.625991272
Eldegoss,0.341169064,-1.42148156,-0.086146326
Espeon,1.186706273,-1.44446212,0.353732955
Falinks,-1.114882462,0.868113355,1.461809967
Garchomp,-0.820073224,0.830721129,-0.883208445
Gardevoir,1.547493118,-1.142137761,-1.618241872
Gengar,1.117729106,0.14486791,-0.511893255
Glaceon,1.114596056,-0.402978927,0.452857632
Goodra,-1.271580564,-0.683161337,-1.2128539
Greedent,-1.387382085,-0.577005674,0.021023725
Greninja,0.921433346,1.772274441,-0.205178069
Gyarados,-0.439377602,0.857563052,-0.929153246
Ho-Oh,-1.371261572,-0.721595897,-0.114212744
Hoopa,0.287556343,-0.650853623,1.600653589
Inteleon,1.349346186,-0.373013969,-1.266770362
Lapras,-1.238656542,-0.752643149,-0.076921074
Leafeon,0.69647454,0.142088242,1.339690224
Lucario,-0.249986212,1.417718455,1.049409567
Machamp,-0.57574704,1.052156039,-0.732404846
Mamoswine,-1.125337586,-0.586057329,-1.068990894
Meowscarada,1.008427954,0.72016802,-0.581874103
Metagross,-1.300584618,0.840231785,-0.648985669
Mew,1.20713376,-0.864518419,3.686333535
Mewtwo X,-0.724864053,0.321521582,-0.343495684
Mewtwo Y,0.963498347,-0.50010838,-0.77026254
Mimikyu,-0.596447046,1.063700445,0.745790331
Miraidon,0.984570277,-0.482566169,0.06935677
Mr. Mime,-1.14204487,-1.165460698,0.541524144
Ninetales,1.365810501,-1.475912493,-0.46610191
Pikachu,1.394788117,-1.100040675,0.276589295
Sableye,0.334070907,-0.75328257,1.503776632
Scizor,-0.629855281,1.265400648,0.230512387
Scyther,0.648325657,0.7934034,0.391610828
Slowbro,-1.239258849,-1.214382727,0.03155419
Snorlax,-1.781946377,-0.633642097,-0.046488672
Sylveon,0.787360496,-1.179894427,0.133114941
Talonflame,1.005941933,0.983583276,0.118870847
Trevenant,-1.382033596,-0.732941378,-0.596919257
Tsareena,-0.569073677,1.061434544,0.273871929
Tyranitar,-1.406131878,0.63238953,-1.73414242
Umbreon,-1.430712296,-1.248392956,0.443880976
Urshifu,-0.535610601,0.986832987,-0.100001531
Venusaur,1.215291957,-1.263864095,-1.780050029
Wigglytuff,-1.112953115,-1.200933812,0.76208081
Zacian,-1.032305166,0.918564499,0.651082162
Zeraora,0.821725655,0.846224799,0.983191146
Zoroark,0.844417364,0.902071905,0.723693462
