Elements,Mobility,Support,Scoring,0ffense,Endurance,Damage
Absol,4,0.5,2.5,3.5,2,3.5
Aegislash,4,0.5,2.5,3.5,2,3.5
Armarouge,2.5,0.5,2,4,2,4.5
Azumarill,2.5,0.5,2.5,3,3,2.5
Blastoise,2,3,2,2,3.5,2.5
Blaziken,4,0.5,1,4,2.5,4
Blissey,1.5,4.5,1.5,1,3.5,2
Buzzwole,2.5,2,2,4,3,3.5
Ceruledge,2.5,0.5,2.5,4,2.5,4.5
Chandelure,1,3,2,5,1,4.5
Charizard,2.5,0.5,3,3.5,3,2
Cinderace,3,0.5,2.5,4,1.5,4.5
Clefable,1.5,4.5,1.5,2,3,2.5
Comfey,3.5,5,2.5,2,2.5,1.5
Cramorant,3,1,1.5,4,3,4.5
Crustle,1.5,3,2,1.5,4,1.5
Darkrai,3,2,2,4.5,1.5,4.5
Decidueye,1.5,3.5,3.5,3.5,1.5,2.5
Delphox,3,0.5,2.5,4,1.5,4.5
Dodrio,4,0.5,4,3,2,3.5
Dragapult,4,0.5,2.5,4,1.5,4
Dragonite,2.5,0.5,3,4,2.5,2
Duraludon,2.5,1.5,2.5,4.5,2,3.5
Eldegoss,2.5,4,2.5,1.5,2,2.5
Espeon,1.5,3,2,4,2,2.5
Falinks,2.5,1,2,3.5,4.5,3
Garchomp,2.5,0.5,2.5,3.5,3.5,3.5
Gardevoir,1.5,1.5,3,4.5,1.5,2.5
Gengar,4,0.5,3,3.5,2,4.5
Glaceon,3,0.5,1,4,2,2.5
Goodra,2.5,2,2.5,2.5,4,2.5
Greedent,2,3.5,1,1.5,5,2
Greninja,3,0.5,3,4,2,4
Gyarados,2.5,1,2,4,3,4.5
Ho-Oh,2,3,1,3,4,2.5
Hoopa,3,3.5,2,3,2,2
Inteleon,3.5,0.5,1.5,4.5,1.5,2.5
Lapras,2,3,2,3,3.5,2
Leafeon,2.5,2.5,2.5,3.5,1.5,3.5
Lucario,3.5,0.5,3,3,2.5,4.5
Machamp,2.5,1,2.5,4,2.5,4.5
Mamoswine,2,2.5,1.5,2.5,4,2.5
Meowscarada,3,0.5,2.5,4.5,1,4
Metagross,2.5,1,1,3.5,4,4
Mew,3,3,2,4,2,4
Mewtwo X,2.5,2,2,3,3,4
Mewtwo Y,3.5,2,2,5,3,5
Mimikyu,3.5,1,1,4,2.5,4
Miraidon,4,2,2,4,1.5,4
Mr. Mime,1,4,1.5,1.5,4,3.5
Ninetales,1.5,3,2.5,4,1.5,2.5
Pikachu,2.5,1.5,2,4.5,1.5,2.5
Psyduck,2,2.5,1,4,1,3
Sableye,2.5,3.5,3.5,1,2.5,2.5
Scizor,4,1,2,4.5,2.5,4.5
Scyther,4,1,2,4.5,2.5,4.5
Slowbro,2.5,4,1.5,1.5,4,2.5
Snorlax,2,2.5,1.5,1.5,5,3
Sylveon,1.5,3.5,3.5,3.5,1.5,2.5
Talonflame,5,0.5,3.5,2.5,1.5,4
Trevenant,2,2.5,2.5,2,4,2.5
Tsareena,3,0.5,1.5,3.5,3,2
Tyranitar,2,1,1.5,4,4,4
Umbreon,1.5,4,1.5,1.5,4,2.5
Urshifu,2.5,1,2.5,4.5,3,4.5
Venusaur,2,1,2.5,4.5,2,1.5
Wigglytuff,2.5,4.5,2,1,2.5,2.5
Zacian,3,2,1,5,4,4.5
Zeraora,4,0.5,3,3.5,1.5,3.5
Zoroark,4,0.5,2,3.5,1.5,3.5
